"time", "users", "average response time", "queries Per Second", "label", "queries", "rows read", "updates", "deletes", "inserts", "interval"
155, 10, 6, 455, "Jul 29, 2013 4:05:58 PM", 455, 228636, 45, 47, 38, 1
156, 10, 0, 0, "Jul 29, 2013 4:06:00 PM", 0, 0, 0, 0, 0, 1
157, 10, 1, 16, "Jul 29, 2013 4:06:02 PM", 16, 0, 4, 6, 3, 1
158, 10, 1, 761, "Jul 29, 2013 4:06:04 PM", 761, 0, 69, 82, 75, 1
159, 10, 1, 814, "Jul 29, 2013 4:06:06 PM", 814, 0, 75, 68, 74, 1
160, 10, 1, 628, "Jul 29, 2013 4:06:08 PM", 628, 0, 40, 41, 30, 1
161, 10, 0, 0, "Jul 29, 2013 4:06:10 PM", 0, 0, 0, 0, 0, 1
162, 10, 1, 24, "Jul 29, 2013 4:06:13 PM", 24, 0, 5, 7, 8, 1
163, 10, 3, 650, "Jul 29, 2013 4:06:15 PM", 650, 132504, 74, 63, 72, 1
164, 10, 3, 663, "Jul 29, 2013 4:06:17 PM", 663, 139391, 80, 64, 68, 1
165, 10, 3, 497, "Jul 29, 2013 4:06:19 PM", 497, 159805, 32, 44, 32, 1
166, 10, 0, 0, "Jul 29, 2013 4:06:21 PM", 0, 0, 0, 0, 0, 1
167, 10, 1, 35, "Jul 29, 2013 4:06:23 PM", 35, 0, 7, 5, 6, 1
168, 10, 8, 488, "Jul 29, 2013 4:06:25 PM", 488, 147079, 66, 73, 59, 1
169, 10, 7, 537, "Jul 29, 2013 4:06:27 PM", 537, 187687, 70, 69, 82, 1
170, 10, 7, 356, "Jul 29, 2013 4:06:29 PM", 356, 198545, 28, 32, 34, 1
171, 10, 0, 0, "Jul 29, 2013 4:06:31 PM", 0, 0, 0, 0, 0, 1
172, 10, 1, 49, "Jul 29, 2013 4:06:33 PM", 49, 0, 11, 11, 8, 1
173, 10, 2, 731, "Jul 29, 2013 4:06:35 PM", 731, 44537, 63, 86, 65, 1
174, 10, 2, 750, "Jul 29, 2013 4:06:37 PM", 750, 53494, 66, 77, 75, 1
175, 10, 1, 490, "Jul 29, 2013 4:06:39 PM", 490, 37588, 38, 33, 27, 1
176, 10, 0, 0, "Jul 29, 2013 4:06:41 PM", 0, 0, 0, 0, 0, 1
177, 10, 1, 12, "Jul 29, 2013 4:06:43 PM", 12, 0, 2, 2, 4, 1
178, 10, 4, 641, "Jul 29, 2013 4:06:45 PM", 641, 132867, 70, 88, 68, 1
179, 10, 3, 667, "Jul 29, 2013 4:06:47 PM", 667, 142052, 81, 62, 60, 1
180, 10, 3, 381, "Jul 29, 2013 4:06:49 PM", 381, 120883, 26, 26, 33, 1
181, 10, 0, 0, "Jul 29, 2013 4:06:51 PM", 0, 0, 0, 0, 0, 1
182, 10, 1, 64, "Jul 29, 2013 4:06:53 PM", 64, 0, 11, 12, 13, 1
183, 10, 6, 516, "Jul 29, 2013 4:06:55 PM", 516, 196678, 64, 59, 72, 1
184, 10, 6, 567, "Jul 29, 2013 4:06:57 PM", 567, 190102, 70, 69, 66, 1
185, 10, 6, 296, "Jul 29, 2013 4:06:59 PM", 296, 158394, 22, 28, 22, 1
186, 10, 0, 0, "Jul 29, 2013 4:07:01 PM", 0, 0, 0, 0, 0, 1
187, 10, 1, 83, "Jul 29, 2013 4:07:03 PM", 83, 0, 18, 13, 14, 1
188, 10, 2, 748, "Jul 29, 2013 4:07:05 PM", 748, 52160, 71, 80, 64, 1
189, 10, 2, 766, "Jul 29, 2013 4:07:07 PM", 766, 50615, 60, 75, 68, 1
190, 10, 1, 366, "Jul 29, 2013 4:07:09 PM", 366, 30739, 27, 24, 21, 1
191, 10, 0, 0, "Jul 29, 2013 4:07:11 PM", 0, 0, 0, 0, 0, 1
192, 10, 1, 57, "Jul 29, 2013 4:07:13 PM", 57, 0, 11, 9, 8, 1
193, 10, 4, 631, "Jul 29, 2013 4:07:15 PM", 631, 115360, 61, 61, 64, 1
194, 10, 4, 656, "Jul 29, 2013 4:07:17 PM", 656, 137350, 73, 64, 64, 1
195, 10, 3, 291, "Jul 29, 2013 4:07:19 PM", 291, 88266, 31, 25, 23, 1
196, 10, 0, 0, "Jul 29, 2013 4:07:21 PM", 0, 0, 0, 0, 0, 1
197, 10, 1, 98, "Jul 29, 2013 4:07:23 PM", 98, 0, 25, 23, 19, 1
198, 10, 6, 527, "Jul 29, 2013 4:07:25 PM", 527, 203545, 62, 64, 69, 1
199, 10, 6, 557, "Jul 29, 2013 4:07:27 PM", 557, 209454, 70, 70, 70, 1
200, 10, 6, 192, "Jul 29, 2013 4:07:29 PM", 192, 102621, 19, 16, 24, 1
201, 10, 0, 0, "Jul 29, 2013 4:07:31 PM", 0, 0, 0, 0, 0, 1
202, 10, 1, 100, "Jul 29, 2013 4:07:33 PM", 100, 0, 19, 29, 16, 1
203, 10, 2, 745, "Jul 29, 2013 4:07:35 PM", 745, 54506, 61, 83, 63, 1
204, 10, 1, 788, "Jul 29, 2013 4:07:37 PM", 788, 54193, 63, 73, 62, 1
205, 10, 1, 213, "Jul 29, 2013 4:07:39 PM", 213, 15477, 13, 13, 17, 1
206, 10, 0, 0, "Jul 29, 2013 4:07:41 PM", 0, 0, 0, 0, 0, 1
207, 10, 1, 84, "Jul 29, 2013 4:07:43 PM", 84, 0, 14, 21, 16, 1
208, 10, 2, 633, "Jul 29, 2013 4:07:45 PM", 633, 100881, 71, 73, 67, 1
209, 10, 3, 629, "Jul 29, 2013 4:07:47 PM", 629, 98241, 78, 81, 70, 1
210, 10, 2, 149, "Jul 29, 2013 4:07:49 PM", 149, 36282, 7, 9, 9, 1
211, 10, 0, 0, "Jul 29, 2013 4:07:51 PM", 0, 0, 0, 0, 0, 1
212, 10, 1, 136, "Jul 29, 2013 4:07:53 PM", 136, 0, 30, 26, 22, 1
213, 10, 7, 500, "Jul 29, 2013 4:07:55 PM", 500, 187875, 65, 65, 62, 1
214, 10, 8, 485, "Jul 29, 2013 4:07:57 PM", 485, 185426, 75, 50, 77, 1
215, 10, 6, 108, "Jul 29, 2013 4:07:59 PM", 108, 70844, 6, 12, 12, 1
216, 10, 0, 0, "Jul 29, 2013 4:08:01 PM", 0, 0, 0, 0, 0, 1
217, 10, 1, 100, "Jul 29, 2013 4:08:03 PM", 100, 0, 18, 24, 18, 1
218, 10, 2, 761, "Jul 29, 2013 4:08:05 PM", 761, 50465, 68, 76, 72, 1
219, 10, 2, 611, "Jul 29, 2013 4:08:07 PM", 611, 59064, 36, 45, 46, 1
